serviceId	standard	standardCode
BoreholeSeismicProcessingServices	UNSPSC	71112327
BoreholeSeismicMonitoringAcquisitionServices	UNSPSC	71112328
BoreholeSeismicWhileDrillingAcquisitionServices	UNSPSC	71112329
SimultaneousBoreholeSeismicAcquisitionServices	UNSPSC	71112330
SurfaceSeismicAcquisitionServices	UNSPSC	71112330
OilfieldCasingHardwareServices	UNSPSC	71121001
OilfieldCementLabTestingServices	UNSPSC	71121002
OilwellLostCirculationServices	UNSPSC	71121008
OilfieldMudRemovalServices	UNSPSC	71121009
PlugCementServices	UNSPSC	71121010
WellSitePressurePumpingServices	UNSPSC	71121011
OilfieldPressureTestingServices	UNSPSC	71121012
SqueezeWellCementingServices	UNSPSC	71121016
WellWaterControlServices	UNSPSC	71121017
WellCementEvaluationServices	UNSPSC	71121018
CasingCementServices	UNSPSC	71121024
OtherCementingServices	UNSPSC	71121025
AcidizingThroughCoiledTubingServices	UNSPSC	71121101
CableInstallationThroughCoiledTubingServices	UNSPSC	71121102
CementingThroughCoiledTubingServices	UNSPSC	71121103
ChemicalCuttingThroughCoiledTubingServices	UNSPSC	71121104
CleanOutThroughCoiledTubingServices	UNSPSC	71121105
CompletionThroughCoiledTubingServices	UNSPSC	71121106
ConveyingInflatablesThroughCoiledTubingServices	UNSPSC	71121107
CoringThroughCoiledTubingServices	UNSPSC	71121108
ExtendedReachWellServices	UNSPSC	71121109
FishingThroughCoiledTubingServices	UNSPSC	71121110
FracturingThroughCoiledTubingServices	UNSPSC	71121111
HighPressureCoiledTubingServices	UNSPSC	71121112
HorizontalIsolationOilfieldServices	UNSPSC	71121113
LoggingWithCoiledTubingServices	UNSPSC	71121114
MillingThroughCoiledTubingServices	UNSPSC	71121115
NitrogenRelatedApplicationsThroughCoiledTubing	UNSPSC	71121116
PerforatingThroughCoiledTubingServices	UNSPSC	71121117
PipelineLineLayingServices	UNSPSC	71121118
FlowLineLayingServices	UNSPSC	71121118
PipelineInterventionServices	UNSPSC	71121119
SandControlThroughCoiledTubingServices	UNSPSC	71121120
AbrasiveTubularCleaningServices	UNSPSC	71121121
WellKillThroughCoiledTubingServices	UNSPSC	71121122
CasingExitWithCoiledTubingServices	UNSPSC	71121123
CoiledTubingService	UNSPSC	71121124
CoiledStimulationService	UNSPSC	71121124
ConventionalCoringServices	UNSPSC	71121201
CoreIsolationServices	UNSPSC	71121202
CorePreservationServices	UNSPSC	71121203
HorizontalCoringServices	UNSPSC	71121204
OrientedCoringServices	UNSPSC	71121205
CoreAnalysisService	UNSPSC	71121206
SpongeCoringServices	UNSPSC	71121207
WirelineRetrievableCoringServices	UNSPSC	71121208
AntiJammingSystemServices	UNSPSC	71121209
MotorCoringServices	UNSPSC	71121210
FullClosureSystemsServices	UNSPSC	71121211
DownholeDrillingVibrationControlServices	UNSPSC	71121301
DownholeDrillingBoreholeEnlargementServices	UNSPSC	71121302
DownholeDrillingReamingProtectionServices	UNSPSC	71121303
GaugeProtectionServices	UNSPSC	71121303
DownholeDrillingTorqueReductionServices	UNSPSC	71121304
DragReductionServices	UNSPSC	71121304
DownholeDrillingStuckPipeAlleviationServices	UNSPSC	71121305
DownholeDrillingToolRepairServices	UNSPSC	71121307
DownholeDrillingStabilizationServices	UNSPSC	71121309
BlowOutPreventerBopRental	UNSPSC	71121310
PermanentDownholeGaugesService	UNSPSC	71121311
DrillingToolRentalService	UNSPSC	71121312
OilfieldDrillingBitDesignServices	UNSPSC	71121401
OilfieldDrillingBitHydraulicOptimizationServices	UNSPSC	71121402
OilfieldDrillingBitPlanningServices	UNSPSC	71121403
OilfieldDrillingBitRecordingServices	UNSPSC	71121404
OilfieldDrillingBitRepairServices	UNSPSC	71121405
OilfieldDrillingBitFootageContracts	UNSPSC	71121406
WellSiteDrillingOptimizationAssistanceService	UNSPSC	71121407
DrillBitHydraulicLiftingSystemServices	UNSPSC	71121408
PdcDrillBitRental	UNSPSC	71121409
RollerConeDrillBitRental	UNSPSC	71121410
NatDiamond	UNSPSC	71121411
ImpregnatedDrillBitRental	UNSPSC	71121411
AcousticMeasurementWhenDrillingServices	UNSPSC	71121501
AcousticTelemetryWhenDrillingServices	UNSPSC	71121502
CaliperMeasurementWhenDrillingServices	UNSPSC	71121503
DensityMeasurementWhenDrillingServices	UNSPSC	71121504
OilfieldDrillingPerformanceServices	UNSPSC	71121505
ElectromagneticTelemetryWhenDrillingServices	UNSPSC	71121506
FormationDipMeasurementWhenDrillingServices	UNSPSC	71121507
FormationPressureMeasurementWhenDrillingServices	UNSPSC	71121508
GeologicallySteeredWells	UNSPSC	71121509
GeostoppingServices	UNSPSC	71121510
MudLoggingServices	UNSPSC	71121511
NuclearMagneticResonanceServices	UNSPSC	71121512
PorosityMeasurementWhenDrillingServices	UNSPSC	71121513
ResistivityMeasurementWhenDrillingServices	UNSPSC	71121514
WellSurveyingManagementServices	UNSPSC	71121515
SurveyingWirelineServices	UNSPSC	71121516
AssetIntegrityManagementServices	UNSPSC	71121517
WellSiteGeologyServices	UNSPSC	71121518
GeologyOperationsServices	UNSPSC	71121519
WellCasingCrewService	UNSPSC	71121601
WellCasingPlanningServices	UNSPSC	71121602
WellCasingMillingServices	UNSPSC	71121603
CoiledTubingDrillingServices	UNSPSC	71121604
WellCompletionPlanningServices	UNSPSC	71121605
ConventionalWellDirectionalDrillingServices	UNSPSC	71121606
WellDirectionalDrillingServices	UNSPSC	71121607
WellDrillingContractDevelopmentServices	UNSPSC	71121608
WellDrillingEngineeringServices	UNSPSC	71121610
WellDrillingMudServices	UNSPSC	71121611
FluidServices	UNSPSC	71121611
WellDrillingOfWaterIntakeWellServices	UNSPSC	71121612
WellDrillingRigMonitorServices	UNSPSC	71121613
WellDrillingSolidsControl	UNSPSC	71121614
WellDrillingStabilizingOpeningServices	UNSPSC	71121615
HoleOpeningServices	UNSPSC	71121615
WellDrillingSupervision	UNSPSC	71121616
WellDrillingControlServices	UNSPSC	71121617
WellDrillingOtherGeneralServices	UNSPSC	71121618
ExtendedReachDirectionalWellDrillingServices	UNSPSC	71121619
MultilateralDirectionalWellDrillingServices	UNSPSC	71121620
OilCountryTubularModificationServices	UNSPSC	71121621
TestingServices	UNSPSC	71121621
WellDrillingPickupService	UNSPSC	71121622
LaydownService	UNSPSC	71121622
WellDrillingPipeStorage	UNSPSC	71121623
WellDrillingPipeThreading	UNSPSC	71121624
RatHoleWellDrillingService	UNSPSC	71121625
ShortRadiusDirectionalWellDrillingServices	UNSPSC	71121626
SteerableUnderreamingWhileWellDrillingServices	UNSPSC	71121627
UltraShortRadiusDirectionalWellDrillingServices	UNSPSC	71121628
UnderbalancedWellDrillingServices	UNSPSC	71121629
WellPlanningServices	UNSPSC	71121630
WellRedrillingServices	UNSPSC	71121631
WellReworkingServices	UNSPSC	71121631
WellDrillingDeviationControl	UNSPSC	71121632
OilfieldGravelPackingServices	UNSPSC	71121633
OilfieldHullSystemsServices	UNSPSC	71121634
RigWellPullingCrewServices	UNSPSC	71121635
WellheadEquipmentServices	UNSPSC	71121636
SidetrackingWithWhipstockServices	UNSPSC	71121637
WellDrillingPipeCleaningService	UNSPSC	71121638
DownholeDrillingTubularRentalService	UNSPSC	71121639
TubularRunningService	UNSPSC	71121640
RotarySteerableDirectionalDrillingService	UNSPSC	71121641
DrillingOptimizationServices	UNSPSC	71121642
DirectionalDrillingTurbine	UNSPSC	71121643
DirectionalDrillingBottomHoleAssembly	UNSPSC	71121644
DirectionalDrillingIntegratedServicePackages	UNSPSC	71121645
LogisticsBaseServices	UNSPSC	71121646
OffshoreUnderbalancedDrillingServices	UNSPSC	71121647
UnderbalancedDrillingServices	UNSPSC	71121648
ConductorService	UNSPSC	71121649
OffshoreCasing	UNSPSC	71121650
TubingService	UNSPSC	71121650
ExpandableTubularService	UNSPSC	71121651
OilWellChristmasTreesServices	UNSPSC	71121652
DirectionalDrillingIntangibleCosts	UNSPSC	71121653
DirectionalDrillingManpowerService	UNSPSC	71121654
DirectionalDrillingMotorService	UNSPSC	71121655
MeasurementWhileDrilling	UNSPSC	71121656
LoggingWhileDrilling	UNSPSC	71121657
DirectionalDrillingLostCirculation	UNSPSC	71121658
OilfieldFishingServiceDesignServices	UNSPSC	71121701
OilfieldFishingServiceEconomicEvaluationServices	UNSPSC	71121702
OilfieldFishingServiceOperationServices	UNSPSC	71121703
OilfieldJunkRecoveryServices	UNSPSC	71121704
OilfieldPipeRecoveryService	UNSPSC	71121705
OilfieldFishingServices	UNSPSC	71121706
OilfieldDrillingServices	UNSPSC	71121706
