compound	component	position	totalComponents
ItPortfolioAdjustments	Adjustments	2	3
TechnologyInnovation	Technology	0	2
TechnologyInnovation	Innovation	1	2
ViableConcepts	Viable	0	2
ViableConcepts	Concepts	1	2
ItInvestmentProjects	It	0	3
ItInvestmentProjects	Investment	1	3
ItInvestmentProjects	Projects	2	3
ItResilienceRisk	It	0	3
ItResilienceRisk	Resilience	1	3
ItResilienceRisk	Risk	2	3
ItRegulatoryAuditRequirements	It	0	4
ItRegulatoryAuditRequirements	Regulatory	1	4
ItRegulatoryAuditRequirements	Audit	2	4
ItRegulatoryAuditRequirements	Requirements	3	4
RiskManagementRoles	Risk	0	3
RiskManagementRoles	Management	1	3
RiskManagementRoles	Roles	2	3
ItRisks	It	0	2
ItRisks	Risks	1	2
ItComplianceRequirements	It	0	3
ItComplianceRequirements	Compliance	1	3
ItComplianceRequirements	Requirements	2	3
ItSecurityPolicies	It	0	3
ItSecurityPolicies	Security	1	3
ItSecurityPolicies	Policies	2	3
RiskManagementTraining	Risk	0	3
RiskManagementTraining	Management	1	3
RiskManagementTraining	Training	2	3
ItActivityRisk	It	0	3
ItActivityRisk	Activity	1	3
ItActivityRisk	Risk	2	3
PhysicalLogicalItDataSecurityMeasures	Physical	0	6
PhysicalLogicalItDataSecurityMeasures	Logical	1	6
PhysicalLogicalItDataSecurityMeasures	It	2	6
PhysicalLogicalItDataSecurityMeasures	Data	3	6
PhysicalLogicalItDataSecurityMeasures	Security	4	6
PhysicalLogicalItDataSecurityMeasures	Measures	5	6
ApplicationSecurityControls	Application	0	3
ApplicationSecurityControls	Security	1	3
ApplicationSecurityControls	Controls	2	3
ItPhysicalEnvironmentSecurityControls	It	0	5
ItPhysicalEnvironmentSecurityControls	Physical	1	5
ItPhysicalEnvironmentSecurityControls	Environment	2	5
ItPhysicalEnvironmentSecurityControls	Security	3	5
ItPhysicalEnvironmentSecurityControls	Controls	4	5
NetworkIntrusionDetectionDataResolveThreats	Network	0	6
NetworkIntrusionDetectionDataResolveThreats	Intrusion	1	6
NetworkIntrusionDetectionDataResolveThreats	Detection	2	6
NetworkIntrusionDetectionDataResolveThreats	Data	3	6
NetworkIntrusionDetectionDataResolveThreats	Resolve	4	6
NetworkIntrusionDetectionDataResolveThreats	Threats	5	6
ItComplianceAssessments	It	0	3
ItComplianceAssessments	Compliance	1	3
ItComplianceAssessments	Assessments	2	3
ItComplianceControlAuditing	It	0	4
ItComplianceControlAuditing	Compliance	1	4
ItComplianceControlAuditing	Control	2	4
ItComplianceControlAuditing	Auditing	3	4
ItComplianceIssuesRemediationRequirements	It	0	5
ItComplianceIssuesRemediationRequirements	Compliance	1	5
ItComplianceIssuesRemediationRequirements	Issues	2	5
ItComplianceIssuesRemediationRequirements	Remediation	3	5
ItComplianceIssuesRemediationRequirements	Requirements	4	5
ItResilienceContinuityOperations	It	0	4
ItResilienceContinuityOperations	Resilience	1	4
ItResilienceContinuityOperations	Continuity	2	4
ItResilienceContinuityOperations	Operations	3	4
ChangeControlProcedures	Change	0	3
ChangeControlProcedures	Control	1	3
ChangeControlProcedures	Procedures	2	3
AuthorizationSystems	Authorization	0	2
AuthorizationSystems	Systems	1	2
BusinessInformationArchitecture	Business	0	3
BusinessInformationArchitecture	Information	1	3
BusinessInformationArchitecture	Architecture	2	3
ExternalDataSources	External	0	3
ExternalDataSources	Data	1	3
ExternalDataSources	Sources	2	3
EnterpriseDataInformationArchitecture	Enterprise	0	4
EnterpriseDataInformationArchitecture	Data	1	4
EnterpriseDataInformationArchitecture	Information	2	4
EnterpriseDataInformationArchitecture	Architecture	3	4
BusinessInformationLifecyclePlanningControl	Business	0	5
BusinessInformationLifecyclePlanningControl	Information	1	5
BusinessInformationLifecyclePlanningControl	Lifecycle	2	5
BusinessInformationLifecyclePlanningControl	Planning	3	5
BusinessInformationLifecyclePlanningControl	Control	4	5
EnterpriseInformationPolicies	Enterprise	0	3
EnterpriseInformationPolicies	Information	1	3
EnterpriseInformationPolicies	Policies	2	3
DataAdministrationResponsibilities	Data	0	3
DataAdministrationResponsibilities	Administration	1	3
DataAdministrationResponsibilities	Responsibilities	2	3
BusinessInformationAccess	Business	0	3
