url	ns	type	id	code	name	description	label	comment	subClassOf	supersededBy
https://schema.org.ai/Type/Schema:medicalsignorsymptom	schema.org.ai	Type	Schema:medicalsignorsymptom	schema:MedicalSignOrSymptom	schema:MedicalSignOrSymptom		MedicalSignOrSymptom	Any feature associated or not with a medical condition. In medicine a symptom is generally subjective while a sign is objective.	schema:MedicalCondition	
https://schema.org.ai/Type/Schema:recommendation	schema.org.ai	Type	Schema:recommendation	schema:Recommendation	schema:Recommendation		Recommendation	[[Recommendation]] is a type of [[Review]] that suggests or proposes something as the best option or best course of action. Recommendations may be for products or services, or other concrete things, as in the case of a ranked list or product guide. A [[Guide]] may list multiple recommendations for different categories. For example, in a [[Guide]] about which TVs to buy, the author may have several [[Recommendation]]s.	schema:Review	
https://schema.org.ai/Type/Schema:mobilephonestore	schema.org.ai	Type	Schema:mobilephonestore	schema:MobilePhoneStore	schema:MobilePhoneStore		MobilePhoneStore	A store that sells mobile phones and related accessories.	schema:Store	
https://schema.org.ai/Type/Schema:medicalaudiencetype	schema.org.ai	Type	Schema:medicalaudiencetype	schema:MedicalAudienceType	schema:MedicalAudienceType		MedicalAudienceType	Target audiences types for medical web pages. Enumerated type.	schema:MedicalEnumeration	
https://schema.org.ai/Type/Schema:campingpitch	schema.org.ai	Type	Schema:campingpitch	schema:CampingPitch	schema:CampingPitch		CampingPitch	A [[CampingPitch]] is an individual place for overnight stay in the outdoors, typically being part of a larger camping site, or [[Campground]].\n\n In British English a campsite, or campground, is an area, usually divided into a number of pitches, where people can camp overnight using tents or camper vans or caravans; this British English use of the word is synonymous with the American English expression campground. In American English the term campsite generally means an area where an individual, family, group, or military unit can pitch a tent or park a camper; a campground may contain many campsites. (Source: Wikipedia, see [https://en.wikipedia.org/wiki/Campsite](https://en.wikipedia.org/wiki/Campsite).)\n\n See also the dedicated [document on the use of schema.org for marking up hotels and other forms of accommodations](/docs/hotels.html).	schema:Accommodation	
https://schema.org.ai/Type/Schema:paintaction	schema.org.ai	Type	Schema:paintaction	schema:PaintAction	schema:PaintAction		PaintAction	The act of producing a painting, typically with paint and canvas as instruments.	schema:CreateAction	
https://schema.org.ai/Type/Schema:legislation	schema.org.ai	Type	Schema:legislation	schema:Legislation	schema:Legislation		Legislation	A legal document such as an act, decree, bill, etc. (enforceable or not) or a component of a legal act (like an article).	schema:CreativeWork	
https://schema.org.ai/Type/Schema:hostel	schema.org.ai	Type	Schema:hostel	schema:Hostel	schema:Hostel		Hostel	A hostel - cheap accommodation, often in shared dormitories. <br /><br /> See also the <a href="/docs/hotels.html">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.	schema:LodgingBusiness	
https://schema.org.ai/Type/Schema:drinkaction	schema.org.ai	Type	Schema:drinkaction	schema:DrinkAction	schema:DrinkAction		DrinkAction	The act of swallowing liquids.	schema:ConsumeAction	
https://schema.org.ai/Type/Schema:specialty	schema.org.ai	Type	Schema:specialty	schema:Specialty	schema:Specialty		Specialty	Any branch of a field in which people typically develop specific expertise, usually after significant study, time, and effort.	schema:Enumeration	
