$id	$type	$context	name	description	code	subClassOf	url
https://schema.org.ai/FoodEvent	https://schema.org.ai/Class	https://schema.org.ai	FoodEvent	Event type: Food event.	schema:FoodEvent	schema:Event	schema:FoodEvent
https://schema.org.ai/ParcelDelivery	https://schema.org.ai/Class	https://schema.org.ai	ParcelDelivery	The delivery of a parcel either via the postal service or a commercial service.	schema:ParcelDelivery	schema:Intangible	schema:ParcelDelivery
https://schema.org.ai/Landform	https://schema.org.ai/Class	https://schema.org.ai	Landform	A landform or physical feature.  Landform elements include mountains, plains, lakes, rivers, seascape and oceanic waterbody interface features such as bays, peninsulas, seas and so forth, including sub-aqueous terrain features such as submersed mountain ranges, volcanoes, and the great ocean basins.	schema:Landform	schema:Place	schema:Landform
https://schema.org.ai/Photograph	https://schema.org.ai/Class	https://schema.org.ai	Photograph	A photograph.	schema:Photograph	schema:CreativeWork	schema:Photograph
https://schema.org.ai/EndorseAction	https://schema.org.ai/Class	https://schema.org.ai	EndorseAction	An agent approves/certifies/likes/supports/sanctions an object.	schema:EndorseAction	schema:ReactAction	schema:EndorseAction
https://schema.org.ai/FinancialProduct	https://schema.org.ai/Class	https://schema.org.ai	FinancialProduct	A product provided to consumers and businesses by financial institutions such as banks, insurance companies, brokerage firms, consumer finance companies, and investment companies which comprise the financial services industry.	schema:FinancialProduct	schema:Service	schema:FinancialProduct
https://schema.org.ai/MedicalWebPage	https://schema.org.ai/Class	https://schema.org.ai	MedicalWebPage	A web page that provides medical information.	schema:MedicalWebPage	schema:WebPage	schema:MedicalWebPage
https://schema.org.ai/Waterfall	https://schema.org.ai/Class	https://schema.org.ai	Waterfall	A waterfall, like Niagara.	schema:Waterfall	schema:BodyOfWater	schema:Waterfall
https://schema.org.ai/Room	https://schema.org.ai/Class	https://schema.org.ai	Room	A room is a distinguishable space within a structure, usually separated from other spaces by interior walls (source: Wikipedia, the free encyclopedia, see <a href="http://en.wikipedia.org/wiki/Room">http://en.wikipedia.org/wiki/Room</a>). <br /><br /> See also the <a href="/docs/hotels.html">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>. 	schema:Room	schema:Accommodation	schema:Room
https://schema.org.ai/DrugStrength	https://schema.org.ai/Class	https://schema.org.ai	DrugStrength	A specific strength in which a medical drug is available in a specific country.	schema:DrugStrength	schema:MedicalIntangible	schema:DrugStrength
https://schema.org.ai/GeoCircle	https://schema.org.ai/Class	https://schema.org.ai	GeoCircle	A GeoCircle is a GeoShape representing a circular geographic area. As it is a GeoShape           it provides the simple textual property 'circle', but also allows the combination of postalCode alongside geoRadius.           The center of the circle can be indicated via the 'geoMidpoint' property, or more approximately using 'address', 'postalCode'.        	schema:GeoCircle	schema:GeoShape	schema:GeoCircle
https://schema.org.ai/NewsMediaOrganization	https://schema.org.ai/Class	https://schema.org.ai	NewsMediaOrganization	A News/Media organization such as a newspaper or TV station.	schema:NewsMediaOrganization	schema:Organization	schema:NewsMediaOrganization
https://schema.org.ai/CookAction	https://schema.org.ai/Class	https://schema.org.ai	CookAction	The act of producing/preparing food.	schema:CookAction	schema:CreateAction	schema:CookAction
https://schema.org.ai/VideoGallery	https://schema.org.ai/Class	https://schema.org.ai	VideoGallery	Web page type: Video gallery page.	schema:VideoGallery	schema:MediaGallery	schema:VideoGallery
https://schema.org.ai/ReviewNewsArticle	https://schema.org.ai/Class	https://schema.org.ai	ReviewNewsArticle	A [[NewsArticle]] and [[CriticReview]] providing a professional critic's assessment of a service, product, performance, or artistic or literary work.	schema:ReviewNewsArticle	schema:NewsArticle,schema:CriticReview	schema:ReviewNewsArticle
https://schema.org.ai/HowToDirection	https://schema.org.ai/Class	https://schema.org.ai	HowToDirection	A direction indicating a single action to do in the instructions for how to achieve a result.	schema:HowToDirection	schema:CreativeWork,schema:ListItem	schema:HowToDirection
https://schema.org.ai/MusicVideoObject	https://schema.org.ai/Class	https://schema.org.ai	MusicVideoObject	A music video file.	schema:MusicVideoObject	schema:MediaObject	schema:MusicVideoObject
https://schema.org.ai/AmusementPark	https://schema.org.ai/Class	https://schema.org.ai	AmusementPark	An amusement park.	schema:AmusementPark	schema:EntertainmentBusiness	schema:AmusementPark
