id	name	description	code
AerosolMasks	Aerosol masks	Aerosol masks	42271802
AerosolMeters	Aerosol meters	Aerosol meters	41104008
AerosolMonitoringInstruments	Aerosol monitoring instruments	Aerosol monitoring instruments	41104008
AerosolNebulizers	Aerosol nebulizers	Aerosol nebulizers	42271802
AerosolPhotometers	Aerosol photometers	Aerosol photometers	41115311
AerosolSamplingDevices	Aerosol sampling devices	Aerosol sampling devices	41104008
AerosolSpectrometers	Aerosol spectrometers	Aerosol spectrometers	41115403
AgarPlates	Agar plates	Agar plates	41106217
AgarSlides	Agar slides	Agar slides	41122601
AgglutinationViewers	Agglutination viewers	Agglutination viewers	41115803
AggregateSpreaders	Aggregate spreaders	Aggregate spreaders	22101610
AgilityDogWalks	Agility dog walks	Agility dog walks	10111306
AgilityFrames	Agility A-frames	Agility A-frames	10111306
AgilityJumps	Agility jumps	Agility jumps	10111306
AgilityLadders	Agility ladders	Agility ladders	42251602
AgilityPauseTables	Agility pause tables	Agility pause tables	10111306
AgilitySeeSaws	Agility see-saws	Agility see-saws	10111306
AgilityTireJumps	Agility tire jumps	Agility tire jumps	10111306
AgilityTunnels	Agility tunnels	Agility tunnels	10111306
AgitatingMachines	Blending/agitating machines	Blending/agitating machines	41101518
AgitationSticks	Agitation sticks	Agitation sticks	10111306
AgitationTanks	Agitation tanks	Agitation tanks	41103801
AgitationWhips	Agitation whips	Agitation whips	10141502
Agitators	Agitators	Agitators	41103801
AgitatorTanks	Agitator tanks	Agitator tanks	24111809
AgraffeRemovers	Agraffe removers	Agraffe removers	27111712
AgriculturalAugers	Agricultural augers	Agricultural augers	27111509
AgriculturalDividers	Agricultural dividers	Agricultural dividers	21102002
AgriculturalTractors	Agricultural tractors	Agricultural tractors	25101901
AileronTrimSwitches	Aileron trim switches	Aileron trim switches	25201605
Air	Air/soil temperature sensors	Air/soil temperature sensors	41112105
AirAbrasionEquipment	Air abrasion equipment	Air abrasion equipment	42152202
AirAbrasionUnits	Air abrasion units	Air abrasion units	42152202
AirAbrasiveTools	Air abrasive tools	Air abrasive tools	27131502
AirAcetyleneTorches	Air-acetylene torches	Air-acetylene torches	23271702
AirAngleDieGrinders	Air angle die grinders	Air angle die grinders	27112704
AirAssistedSprayingSystems	Air-assisted spraying systems	Air-assisted spraying systems	31211908
AirBagLiftingSystems	Air bag lifting systems	Air bag lifting systems	24101614
AirBagScanTools	Anti-lock braking system ABS/air bag scan tools	Anti-lock braking system ABS/air bag scan tools	43211905
AirBlowers	Air blowers	Air blowers	27112701
Airboats	Airboats	Airboats	25111802
AirborneCollisionAvoidanceSystemsAcas	Airborne collision avoidance systems ACAS	Airborne collision avoidance systems ACAS	25201903
AirborneImagingSystems	Airborne imaging systems	Airborne imaging systems	45121510
AirborneParticulateSamplers	Airborne particulate samplers	Airborne particulate samplers	41104008
AirBrakeHoses	Air brake hoses	Air brake hoses	40142002
AirBrushes	Air brushes	Air brushes	31211914
AirbrushingDevices	Airbrushing devices	Airbrushing devices	60121253
AirbrushingTools	Airbrushing tools	Airbrushing tools	31211914
AirbrushPaintApplicators	Airbrush paint applicators	Airbrush paint applicators	60121253
AirbrushSets	Airbrush sets	Airbrush sets	60121253
AirCarbonArcCuttingEquipment	Air carbon arc cutting equipment	Air carbon arc cutting equipment	23271409
AirCarts	Air carts	Air carts	21101604
AirChippers	Air chippers	Air chippers	27112715
AirChisels	Air chisels	Air chisels	27131504
AirChiselSets	Air chisel sets	Air chisel sets	27131504
AirCleaners	Air cleaners	Air cleaners	40101502
AirClutches	Air clutches	Air clutches	21101607
AirCompressionEquipment	Air compression equipment	Air compression equipment	40151601
AirCompressors	Air compressors	Air compressors	40151601
AirConditionerChargers	Air conditioner chargers	Air conditioner chargers	40151607
AirConditioning	Heating ventilation and air-conditioning/refrigeration HVAC/R clamp meters	Heating ventilation and air-conditioning/refrigeration HVAC/R clamp meters	41113637
AirConditioningSystems	Air conditioning systems	Air conditioning systems	40101701
AirConditioningUnits	Air conditioning units	Air conditioning units	40101701
AirCooledCondensers	Air-cooled condensers	Air-cooled condensers	40101704
AirCoolingSystems	Air cooling systems	Air cooling systems	40101601
AircraftDataLoaders	Aircraft data loaders	Aircraft data loaders	25201801
AircraftFireExtinguishingSystems	Aircraft fire extinguishing systems	Aircraft fire extinguishing systems	25201901
AircraftLiftingJacks	Aircraft lifting jacks	Aircraft lifting jacks	24101612
AircraftLoaders	Aircraft loaders	Aircraft loaders	25191505
AircraftMaintenanceManagementSystems	Aircraft maintenance management systems	Aircraft maintenance management systems	25191503
AircraftTechnicalPublishersAtpMaintenancePlanner	Aircraft Technical Publishers ATP Maintenance Planner	Aircraft Technical Publishers ATP Maintenance Planner	25191503
AircraftTestStands	Aircraft test stands	Aircraft test stands	24101604
AircraftWheelChocks	Aircraft wheel chocks	Aircraft wheel chocks	24101808
AirCurrentTesters	Air current testers	Air current testers	41112509
AirCurrentTestKits	Air current test kits	Air current test kits	41112509
AirDataComputers	Air data computers	Air data computers	25201801
AirDrills	Air drills	Air drills	27131505
AirDrillSeeders	Air drill seeders	Air drill seeders	21101604
AirDrivenDentalPolishers	Air-driven dental polishers	Air-driven dental polishers	42151910
AirDriverDrills	Air driver drills	Air driver drills	42295202
AirDryers	Air dryers	Air dryers	41102412
AirDustingGuns	Air dusting guns	Air dusting guns	27131502
AirfieldAccessControlSystems	Airfield access control systems	Airfield access control systems	46171619
AirfieldLightingEquipment	Airfield lighting equipment	Airfield lighting equipment	39111612
AirFilteringDevices	Air filtering devices	Air filtering devices	40161506
AirFiltrationMask	Air filtration mask	Air filtration mask	46181702
AirFlowCalibrators	Air flow calibrators	Air flow calibrators	41112509
AirFlowHoods	Air flow hoods	Air flow hoods	41112501
AirflowIndicators	Airflow indicators	Airflow indicators	41111931
AirflowMeasurementDevices	Airflow measurement devices	Airflow measurement devices	41111931
AirflowMeters	Airflow meters	Airflow meters	41112509
AirFlowMonitors	Air flow monitors	Air flow monitors	41112509
AirFlowSensors	Air flow sensors	Air flow sensors	41112509
AirFluidizedBeds	Air fluidized beds	Air fluidized beds	42191808
Airfree	Airfree/waterfree solvent purification systems	Airfree/waterfree solvent purification systems	41104812
AirGauges	Air gauges	Air gauges	41112403
AirGreaseGuns	Air grease guns	Air grease guns	27112901
AirGrinders	Air grinders	Air grinders	27131511
AirGuns	Air guns	Air guns	27131502
AirhammerChisels	Airhammer chisels	Airhammer chisels	27111901
Airhammers	Airhammers	Airhammers	27131504
AirHammers	Air hammers	Air hammers	27131504
AirHeaters	Air heaters	Air heaters	40101818
AirHoists	Air hoists	Air hoists	24101602
AirHorns	Air horns	Air horns	46171602
AirHoses	Air hoses	Air hoses	40142002
AirIncubators	Air incubators	Air incubators	41104402
AirInjectors	Air injectors	Air injectors	42151669
AirIonTesters	Air ion testers	Air ion testers	41113005
AirJetWeavingMachines	Air jet weaving machines	Air jet weaving machines	23121507
AirKnives	Air knives	Air knives	23201202
AirlessGravityPumps	Airless gravity pumps	Airless gravity pumps	40151579
AirlessPaintGuns	Airless paint guns	Airless paint guns	31211908
AirlessSprayEquipment	Airless spray equipment	Airless spray equipment	31211908
AirlessSprayGuns	Airless spray guns	Airless spray guns	27112903
AirliftPumps	Airlift pumps	Airlift pumps	40151572
AirLifts	Air lifts	Air lifts	24101661
AirLineMoistureMeters	Air line moisture meters	Air line moisture meters	41112304
AirlineRespirators	Airline respirators	Airline respirators	46182002
AirlineTicketPrinters	Airline ticket printers	Airline ticket printers	43212111
AirManifolds	Air manifolds	Air manifolds	27131601
AirMonitoringEquipment	Air monitoring equipment	Air monitoring equipment	41104008
AirOperatedGrinders	Air operated grinders	Air operated grinders	27131511
AirOxygenBlenders	Air-oxygen blenders	Air-oxygen blenders	42271703
AirplaneBaggageTuggers	Airplane baggage tuggers	Airplane baggage tuggers	25191523
AirPollutantMonitors	Air pollutant monitors	Air pollutant monitors	41104016
AirportCargoConveyorTrucks	Airport cargo conveyor trucks	Airport cargo conveyor trucks	25191524
AirportSurfaceDetectionEquipmentAsdeSystems	Airport surface detection equipment ASDE systems	Airport surface detection equipment ASDE systems	41115201
AirportSurveillanceRadarAsrSystems	Airport surveillance radar ASR systems	Airport surveillance radar ASR systems	41115201
AirpoweredDescalingDrills	Airpowered descaling drills	Airpowered descaling drills	27131505
AirpoweredDescalingTurbines	Airpowered descaling turbines	Airpowered descaling turbines	27131507
AirPoweredSandblasters	Air-powered sandblasters	Air-powered sandblasters	27131507
AirPoweredWrenches	Air-powered wrenches	Air-powered wrenches	27131501
AirPressureGauges	Air pressure gauges	Air pressure gauges	41112403
AirPressureRegulators	Air pressure regulators	Air pressure regulators	41112404
AirPressurizationSystems	Air pressurization systems	Air pressurization systems	25202601
AirPurifyingRespirators	Air purifying respirators	Air purifying respirators	46182002
AirQualityDataloggers	Air quality dataloggers	Air quality dataloggers	41104008
AirQualitySamplers	Air quality samplers	Air quality samplers	41104008
AirRatchets	Air ratchets	Air ratchets	27111711
AirReels	Air reels	Air reels	21101704
AirRotaryDrills	Air rotary drills	Air rotary drills	20102007
AirRouteSurveillanceRadarArsrSystems	Air route surveillance radar ARSR systems	Air route surveillance radar ARSR systems	41115201
AirSampleCollectionEquipment	Air sample collection equipment	Air sample collection equipment	41104008
AirSamplers	Air samplers	Air samplers	41104008
AirSamplingDevices	Air sampling devices	Air sampling devices	41104008
AirSamplingImpingers	Air sampling impingers	Air sampling impingers	41104008
AirSamplingPrimaryFlowCalibrators	Air sampling primary flow calibrators	Air sampling primary flow calibrators	41104009
AirSamplingPumps	Air sampling pumps	Air sampling pumps	41104009
AirSamplingSystems	Air sampling systems	Air sampling systems	41104008
AirSanders	Air sanders	Air sanders	27131507
AirScalers	Air scalers	Air scalers	27131507
AirScribes	Air scribes	Air scribes	42152202
AirScrubbers	Air scrubbers	Air scrubbers	40161601
AirSeeders	Air seeders	Air seeders	21101604
AirSpades	Air spades	Air spades	22101508
AirSplints	Air splints	Air splints	42241507
AirSprayGuns	Air spray guns	Air spray guns	27131502
AirStapleGuns	Air staple guns	Air staple guns	27112401
AirStrippers	Air strippers	Air strippers	47101504
AirSupplyingRespirators	Air-supplying respirators	Air-supplying respirators	46182002
AirTampers	Air tampers	Air tampers	22101507
AirTanks	Air tanks	Air tanks	49141502
AirTemperatureThermometers	Air temperature thermometers	Air temperature thermometers	41114408
AirUnderlaymentStaplers	Air underlayment staplers	Air underlayment staplers	27112401
AirVelocity	Air velocity and temperature meters	Air velocity and temperature meters	41112509
AirVelocityMeters	Air velocity meters	Air velocity meters	41112509
AirVolumeTestEquipment	Air volume test equipment	Air volume test equipment	41111931
AirwaySuctionUnits	Airway suction units	Airway suction units	42171809
AirWireBrushes	Air wire brushes	Air wire brushes	27111907
AirWrenches	Air wrenches	Air wrenches	27131501
Alarms	Alarms	Alarms	46171604
AlarmSystemMonitors	Alarm system monitors	Alarm system monitors	46171604
AlarmSystems	Alarm systems	Alarm systems	46171604
Albuminometers	Albuminometers	Albuminometers	41113302
AlcoholLamps	Alcohol lamps	Alcohol lamps	41102402
AlgaeScrapers	Algae scrapers	Algae scrapers	47121812
Algometers	Algometers	Algometers	41111912
Alidades	Alidades	Alidades	41114203
Aligners	Aligners	Aligners	23211101
AligningClamps	Aligning clamps	Aligning clamps	27112101
AligningJigs	Aligning jigs	Aligning jigs	23153017
AligningPryBars	Aligning pry bars	Aligning pry bars	27112502
AligningPunches	Aligning punches	Aligning punches	27111505
AlignmentClamps	Alignment clamps	Alignment clamps	27112101
