url	ns	type	id	code	name	description	source	level	segment	segmentCode	family	familyCode	class	classCode	parent	hierarchy
https://napcs.org.ai/Service/SugarBeets	napcs.org.ai	Service	SugarBeets	1151322	Sugar beets	Sugar beets.	NAPCS	4							115132	
https://napcs.org.ai/ServiceSubclass/RawTea	napcs.org.ai	ServiceSubclass	RawTea	115133	Raw tea	This subclass comprises raw tea	NAPCS	3							11513	
https://napcs.org.ai/Service/RawTea1151331	napcs.org.ai	Service	RawTea1151331	1151331	Raw tea	Raw tea	NAPCS	4							115133	
https://napcs.org.ai/ServiceSubclass/CocoaBeans	napcs.org.ai	ServiceSubclass	CocoaBeans	115134	Cocoa beans	This subclass comprises cocoa beans.	NAPCS	3							11513	
https://napcs.org.ai/Service/CocoaBeans1151341	napcs.org.ai	Service	CocoaBeans1151341	1151341	Cocoa beans	Cocoa beans.	NAPCS	4							115134	
https://napcs.org.ai/ServiceSubclass/GreenCoffeeBeans	napcs.org.ai	ServiceSubclass	GreenCoffeeBeans	115135	Green coffee beans	This subclass comprises green coffee beans.	NAPCS	3							11513	
https://napcs.org.ai/Service/GreenCoffeeBeans1151351	napcs.org.ai	Service	GreenCoffeeBeans1151351	1151351	Green coffee beans	Green coffee beans.	NAPCS	4							115135	
https://napcs.org.ai/ServiceSubclass/MapleSyrupOtherMapleProducts	napcs.org.ai	ServiceSubclass	MapleSyrupOtherMapleProducts	115136	Maple syrup and other maple products	This subclass comprises maple syrup and other maple products.	NAPCS	3							11513	
https://napcs.org.ai/Service/MapleSyrup	napcs.org.ai	Service	MapleSyrup	1151361	Maple syrup	Maple syrup.	NAPCS	4							115136	
https://napcs.org.ai/Service/MapleButter	napcs.org.ai	Service	MapleButter	1151362	Maple butter	Maple butter.	NAPCS	4							115136	
https://napcs.org.ai/Service/MapleSugar	napcs.org.ai	Service	MapleSugar	1151363	Maple sugar	Maple sugar.	NAPCS	4							115136	
https://napcs.org.ai/Service/MapleTaffy	napcs.org.ai	Service	MapleTaffy	1151364	Maple taffy	Maple taffy.	NAPCS	4							115136	
https://napcs.org.ai/Service/OtherMapleProducts	napcs.org.ai	Service	OtherMapleProducts	1151365	Other maple products		NAPCS	4							115136	
https://napcs.org.ai/ServiceSubclass/RawCotton	napcs.org.ai	ServiceSubclass	RawCotton	115137	Raw cotton	This subclass comprises raw cotton.	NAPCS	3							11513	
https://napcs.org.ai/Service/RawCotton1151371	napcs.org.ai	Service	RawCotton1151371	1151371	Raw cotton	Raw cotton.	NAPCS	4							115137	
https://napcs.org.ai/ServiceSubclass/HayForage	napcs.org.ai	ServiceSubclass	HayForage	115138	Hay and forage	This subclass comprises hay and forage.	NAPCS	3							11513	
https://napcs.org.ai/Service/Hay	napcs.org.ai	Service	Hay	1151381	Hay		NAPCS	4							115138	
https://napcs.org.ai/Service/CornSilage	napcs.org.ai	Service	CornSilage	1151382	Corn for silage	Corn for silage.	NAPCS	4							115138	
https://napcs.org.ai/Service/UnworkedStraw	napcs.org.ai	Service	UnworkedStraw	1151383	Unworked straw	Unworked straw.	NAPCS	4							115138	
https://napcs.org.ai/Service/OtherForage	napcs.org.ai	Service	OtherForage	1151384	Other forage		NAPCS	4							115138	
https://napcs.org.ai/ServiceSubclass/OtherMiscellaneousCropProducts115139	napcs.org.ai	ServiceSubclass	OtherMiscellaneousCropProducts115139	115139	Other miscellaneous crop products		NAPCS	3							11513	
https://napcs.org.ai/Service/Hops	napcs.org.ai	Service	Hops	1151391	Hops	Hops.	NAPCS	4							115139	
https://napcs.org.ai/Service/NaturalVegetableFibres	napcs.org.ai	Service	NaturalVegetableFibres	1151392	Natural vegetable fibres	Natural vegetable fibres.	NAPCS	4							115139	
https://napcs.org.ai/Service/MedicinalPlants	napcs.org.ai	Service	MedicinalPlants	1151393	Medicinal plants (except cannabis)	Medicinal plants	NAPCS	4							115139	
https://napcs.org.ai/Service/MustardSeeds	napcs.org.ai	Service	MustardSeeds	1151394	Mustard seeds	Unprocessed mustard seeds.	NAPCS	4							115139	
https://napcs.org.ai/Service/OtherSpiceSeeds	napcs.org.ai	Service	OtherSpiceSeeds	1151395	Other spice seeds	Other spice seeds.	NAPCS	4							115139	
https://napcs.org.ai/Service/VegetalGums	napcs.org.ai	Service	VegetalGums	1151396	Vegetal gums	Vegetal gums	NAPCS	4							115139	
