personId	roleId
Manager	FundraisingManagers
Manager	FuneralHomeManagers
Manager	Gambling
Manager	GamblingManagers
Manager	GamblingServices
Manager	GeothermalProductionManagers
Manager	GroundskeepingWorkers
Manager	HealthServicesManagers
Manager	HumanResourcesManagers
Manager	HydroelectricProductionManagers
Manager	IndustrialProductionManagers
Manager	InformationSystemsManagers
Manager	InformationTechnologyProjectManagers
Manager	InvestmentFundManagers
Manager	JanitorialWorkers
Manager	LodgingManagers
Manager	LossPreventionManagers
Manager	ManagersAllOther
Manager	MarketingManagers
Manager	MaterialMoversHand
Manager	NaturalSciencesManagers
Manager	OperatingWorkers
Manager	OperationsManagers
Manager	OtherAgriculturalManagers
Manager	PersonalServiceManagersAllOther
Manager	PreventionWorkers
Manager	ProductDevelopmentManagers
Manager	PromotionsManagers
Manager	PublicRelationsManagers
Manager	PurchasingManagers
Manager	QualityControlSystemsManagers
Manager	RangeManagers
Manager	RegulatoryAffairsManagers
Manager	SalesManagers
Manager	SecurityManagers
Manager	ServingWorkers
Manager	SiteManagers
Manager	SolarEnergyInstallationManagers
Manager	SpaManagers
Manager	SupplyChainManagers
Manager	TacticalOperationsLeadersAllOther
Manager	VehicleOperators
Manager	WindEnergyDevelopmentManagers
Manager	WindEnergyOperationsManagers
