url	ns	type	id	name	description	code	domainIncludes	rangeIncludes	sourceUrl
https://schema.org.ai/memoryRequirements	schema.org.ai	Property	memoryRequirements	memoryRequirements	Minimum memory requirements.	memoryRequirements	SoftwareApplication	Text,URL	memoryRequirements
https://schema.org.ai/character	schema.org.ai	Property	character	character	Fictional person connected with a creative work.	character	CreativeWork	Person	character
https://schema.org.ai/equal	schema.org.ai	Property	equal	equal	This ordering relation for qualitative values indicates that the subject is equal to the object.	equal	QualitativeValue	QualitativeValue	equal
https://schema.org.ai/nationality	schema.org.ai	Property	nationality	nationality	Nationality of the person.	nationality	Person	Country	nationality
https://schema.org.ai/copyrightNotice	schema.org.ai	Property	copyrightNotice	copyrightNotice	Text of a notice appropriate for describing the copyright aspects of this Creative Work, ideally indicating the owner of the copyright for the Work.	copyrightNotice	CreativeWork	Text	copyrightNotice
https://schema.org.ai/guidelineDate	schema.org.ai	Property	guidelineDate	guidelineDate	Date on which this guideline's recommendation was made.	guidelineDate	MedicalGuideline	Date	guidelineDate
https://schema.org.ai/returnPolicyCountry	schema.org.ai	Property	returnPolicyCountry	returnPolicyCountry	The country where the product has to be sent to for returns, for example "Ireland" using the [[name]] property of [[Country]]. You can also provide the two-letter [ISO 3166-1 alpha-2 country code](http://en.wikipedia.org/wiki/ISO_3166-1). Note that this can be different from the country where the product was originally shipped from or sent to.	returnPolicyCountry	MerchantReturnPolicy	Text,Country	returnPolicyCountry
https://schema.org.ai/backstory	schema.org.ai	Property	backstory	backstory	For an [[Article]], typically a [[NewsArticle]], the backstory property provides a textual summary giving a brief explanation of why and how an article was created. In a journalistic setting this could include information about reporting process, methods, interviews, data sources, etc.	backstory	Article	Text,CreativeWork	backstory
https://schema.org.ai/providesService	schema.org.ai	Property	providesService	providesService	The service provided by this channel.	providesService	ServiceChannel	Service	providesService
https://schema.org.ai/width	schema.org.ai	Property	width	width	The width of the item.	width	Product,OfferShippingDetails,ShippingConditions,VisualArtwork,MediaObject	QuantitativeValue,Distance	width
