education_program_id	cip_code	career_cluster_id	subcluster_id
gynecologic-oncology-fellowship-program	61.1302	healthcare-human-services	healthcare-human-services/biotechnology-research-development
gynecologic-oncology-fellowship-program	61.1302	healthcare-human-services	healthcare-human-services/physical-health
maternal-and-fetal-medicine-fellowship-program	61.1303	education	education/teaching-training-facilitation
maternal-and-fetal-medicine-fellowship-program	61.1303	healthcare-human-services	healthcare-human-services/biotechnology-research-development
maternal-and-fetal-medicine-fellowship-program	61.1303	healthcare-human-services	healthcare-human-services/physical-health
reproductive-endocrinologyinfertility-fellowship-program	61.1304	education	education/teaching-training-facilitation
reproductive-endocrinologyinfertility-fellowship-program	61.1304	healthcare-human-services	healthcare-human-services/biotechnology-research-development
reproductive-endocrinologyinfertility-fellowship-program	61.1304	healthcare-human-services	healthcare-human-services/physical-health
obstetrics-and-gynecology-residencyfellowship-programs-other	61.1399	education	education/teaching-training-facilitation
obstetrics-and-gynecology-residencyfellowship-programs-other	61.1399	healthcare-human-services	healthcare-human-services/biotechnology-research-development
obstetrics-and-gynecology-residencyfellowship-programs-other	61.1399	healthcare-human-services	healthcare-human-services/physical-health
ophthalmology-residency-program	61.1401	education	education/teaching-training-facilitation
ophthalmology-residency-program	61.1401	healthcare-human-services	healthcare-human-services/physical-health
ophthalmology-residencyfellowship-programs-other	61.1499	education	education/teaching-training-facilitation
ophthalmology-residencyfellowship-programs-other	61.1499	healthcare-human-services	healthcare-human-services/biotechnology-research-development
ophthalmology-residencyfellowship-programs-other	61.1499	healthcare-human-services	healthcare-human-services/physical-health
orthopedic-surgery-residency-program	61.1501	education	education/teaching-training-facilitation
orthopedic-surgery-residency-program	61.1501	healthcare-human-services	healthcare-human-services/physical-health
musculoskeletal-oncology-fellowship-program	61.1502	education	education/teaching-training-facilitation
musculoskeletal-oncology-fellowship-program	61.1502	healthcare-human-services	healthcare-human-services/biotechnology-research-development
musculoskeletal-oncology-fellowship-program	61.1502	healthcare-human-services	healthcare-human-services/physical-health
orthopedic-sports-medicine-fellowship-program	61.1503	education	education/teaching-training-facilitation
orthopedic-sports-medicine-fellowship-program	61.1503	healthcare-human-services	healthcare-human-services/biotechnology-research-development
orthopedic-sports-medicine-fellowship-program	61.1503	healthcare-human-services	healthcare-human-services/physical-health
orthopedic-surgery-of-the-spine-fellowship-program	61.1504	education	education/teaching-training-facilitation
orthopedic-surgery-of-the-spine-fellowship-program	61.1504	healthcare-human-services	healthcare-human-services/biotechnology-research-development
orthopedic-surgery-of-the-spine-fellowship-program	61.1504	healthcare-human-services	healthcare-human-services/physical-health
pediatric-orthopedics-fellowship-program	61.1505	education	education/teaching-training-facilitation
pediatric-orthopedics-fellowship-program	61.1505	healthcare-human-services	healthcare-human-services/biotechnology-research-development
pediatric-orthopedics-fellowship-program	61.1505	healthcare-human-services	healthcare-human-services/physical-health
orthopedic-surgery-residencyfellowship-programs-other	61.1599	education	education/teaching-training-facilitation
