url	ns	type	id	code	name	description	annualMean	annualMedian	annual10th	annual25th	annual75th	annual90th	hourlyMean	hourlyMedian	matchedOnet	digital
https://onet.org.ai/Wage/ArchitectureandEngineeringOccupations	onet.org.ai	Wage	ArchitectureandEngineeringOccupations	170000	Architecture and Engineering Occupations		103980	97310	55550	74040	128080	164360	49.99	46.79	false	
https://onet.org.ai/Wage/ArchitectsSurveyorsandCartographers	onet.org.ai	Wage	ArchitectsSurveyorsandCartographers	171000	Architects, Surveyors, and Cartographers		93330	82990	50410	64320	107020	139070	44.87	39.9	false	
https://onet.org.ai/Wage/ArchitectsExceptNaval	onet.org.ai	Wage	ArchitectsExceptNaval	171010	Architects, Except Naval		101090	94010	59280	74280	120910	157600	48.6	45.2	false	
https://onet.org.ai/Wage/Naval	onet.org.ai	Wage	Naval	171011	Architects, Except Landscape and Naval		103390	96690	60510	76110	123300	159800	49.71	46.49	true	
https://onet.org.ai/Wage/LandscapeArchitects	onet.org.ai	Wage	LandscapeArchitects	171012	Landscape Architects		88000	79660	51990	62650	101580	132250	42.31	38.3	true	
https://onet.org.ai/Wage/SurveyorsCartographersandPhotogrammetrists	onet.org.ai	Wage	SurveyorsCartographersandPhotogrammetrists	171020	Surveyors, Cartographers, and Photogrammetrists		77920	74120	44870	56480	95650	117910	37.46	35.64	false	
https://onet.org.ai/Wage/Photogrammetrists	onet.org.ai	Wage	Photogrammetrists	171021	Cartographers and Photogrammetrists		82860	78380	50500	62860	99650	121440	39.84	37.68	true	
https://onet.org.ai/Wage/GeodeticSurveyors	onet.org.ai	Wage	GeodeticSurveyors	171022	Geodetic Surveyors		76730	72740	43680	53590	94550	116330	36.89	34.97	true	
https://onet.org.ai/Wage/Engineers	onet.org.ai	Wage	Engineers	172000	Engineers		116760	106070	70240	83570	137090	173010	56.13	50.99	false	
https://onet.org.ai/Wage/AerospaceEngineers	onet.org.ai	Wage	AerospaceEngineers	172011	Aerospace Engineers		141180	134830	85350	104740	174480	205850	67.88	64.82	true	
https://onet.org.ai/Wage/AgriculturalEngineers	onet.org.ai	Wage	AgriculturalEngineers	172021	Agricultural Engineers		84240	84630	43020	49930	103940	132700	40.5	40.69	true	
https://onet.org.ai/Wage/BiomedicalEngineers	onet.org.ai	Wage	BiomedicalEngineers	172031	Bioengineers and Biomedical Engineers		115020	106950	71860	86630	133570	165060	55.3	51.42	true	
https://onet.org.ai/Wage/ChemicalEngineers	onet.org.ai	Wage	ChemicalEngineers	172041	Chemical Engineers		128430	121860	78520	96040	152290	182150	61.75	58.59	true	
https://onet.org.ai/Wage/WaterWastewaterEngineers	onet.org.ai	Wage	WaterWastewaterEngineers	172051	Water/Wastewater Engineers		107050	99590	65920	78790	128290	160990	51.47	47.88	true	
https://onet.org.ai/Wage/ComputerHardwareEngineers	onet.org.ai	Wage	ComputerHardwareEngineers	172061	Computer Hardware Engineers		156770	155020	85430	115500	185380	223820	75.37	74.53	true	
https://onet.org.ai/Wage/ElectricalandElectronicsEngineers	onet.org.ai	Wage	ElectricalandElectronicsEngineers	172070	Electrical and Electronics Engineers		124810	118780	76190	92390	150530	181390	60	57.11	false	
https://onet.org.ai/Wage/ElectricalEngineers	onet.org.ai	Wage	ElectricalEngineers	172071	Electrical Engineers		120980	111910	74670	87590	141630	175460	58.16	53.8	true	
https://onet.org.ai/Wage/RadioFrequencyIdentificationDeviceSpecialists	onet.org.ai	Wage	RadioFrequencyIdentificationDeviceSpecialists	172072	Radio Frequency Identification Device Specialists		132500	127590	79390	98920	164000	199060	63.7	61.34	true	
https://onet.org.ai/Wage/EnvironmentalEngineers	onet.org.ai	Wage	EnvironmentalEngineers	172081	Environmental Engineers		110570	104170	64950	80510	130830	161910	53.16	50.08	true	
https://onet.org.ai/Wage/IndustrialEngineersIncludingHealthandSafety	onet.org.ai	Wage	IndustrialEngineersIncludingHealthandSafety	172110	Industrial Engineers, Including Health and Safety		108260	101490	69390	81990	127810	158310	52.05	48.79	false	
https://onet.org.ai/Wage/ProtectionEngineers	onet.org.ai	Wage	ProtectionEngineers	172111	Fire-Prevention and Protection Engineers		113770	109660	62050	85400	136150	166670	54.7	52.72	true	
https://onet.org.ai/Wage/ManufacturingEngineers	onet.org.ai	Wage	ManufacturingEngineers	172112	Manufacturing Engineers		107900	101140	70000	81910	127480	157140	51.87	48.63	true	
https://onet.org.ai/Wage/NavalArchitects	onet.org.ai	Wage	NavalArchitects	172121	Marine Engineers and Naval Architects		116680	105670	79700	88480	133780	167660	56.1	50.8	true	
https://onet.org.ai/Wage/MaterialsEngineers	onet.org.ai	Wage	MaterialsEngineers	172131	Materials Engineers		116380	108310	68040	85820	138370	172000	55.95	52.07	true	
https://onet.org.ai/Wage/AutomotiveEngineers	onet.org.ai	Wage	AutomotiveEngineers	172141	Automotive Engineers		110080	102320	68740	81800	130290	161240	52.92	49.19	true	
https://onet.org.ai/Wage/MiningSafetyEngineers	onet.org.ai	Wage	MiningSafetyEngineers	172151	Mining and Geological Engineers, Including Mining Safety Engineers		108940	101020	62500	81040	129860	163740	52.37	48.57	true	
https://onet.org.ai/Wage/NuclearEngineers	onet.org.ai	Wage	NuclearEngineers	172161	Nuclear Engineers		134980	127520	88290	103010	157600	187430	64.89	61.31	true	
https://onet.org.ai/Wage/PetroleumEngineers	onet.org.ai	Wage	PetroleumEngineers	172171	Petroleum Engineers		153560	141280	78840	107330	191100	228790	73.83	67.92	true	
