url	ns	type	id	code	name	description	digital
https://occupations.org.ai/CustomsBrokers	occupations.org.ai	Occupation	CustomsBrokers	13-1041.08	Customs Brokers	Customs Brokers	0.85
https://occupations.org.ai/CostEstimators	occupations.org.ai	Occupation	CostEstimators	13-1051.00	Cost Estimators	Cost Estimators	0.85
https://occupations.org.ai/HumanResourcesSpecialists	occupations.org.ai	Occupation	HumanResourcesSpecialists	13-1071.00	Human Resources Specialists	Human Resources Specialists	0.85
https://occupations.org.ai/FarmLaborContractors	occupations.org.ai	Occupation	FarmLaborContractors	13-1074.00	Farm Labor Contractors	Farm Labor Contractors	0.85
https://occupations.org.ai/LaborRelationsSpecialists	occupations.org.ai	Occupation	LaborRelationsSpecialists	13-1075.00	Labor Relations Specialists	Labor Relations Specialists	0.85
https://occupations.org.ai/Logisticians	occupations.org.ai	Occupation	Logisticians	13-1081.00	Logisticians	Logisticians	0.85
https://occupations.org.ai/LogisticsEngineers	occupations.org.ai	Occupation	LogisticsEngineers	13-1081.01	Logistics Engineers	Logistics Engineers	0.85
https://occupations.org.ai/LogisticsAnalysts	occupations.org.ai	Occupation	LogisticsAnalysts	13-1081.02	Logistics Analysts	Logistics Analysts	0.85
https://occupations.org.ai/ProjectManagementSpecialists	occupations.org.ai	Occupation	ProjectManagementSpecialists	13-1082.00	Project Management Specialists	Project Management Specialists	0.85
https://occupations.org.ai/ManagementAnalysts	occupations.org.ai	Occupation	ManagementAnalysts	13-1111.00	Management Analysts	Management Analysts	0.85
https://occupations.org.ai/MeetingPlanners	occupations.org.ai	Occupation	MeetingPlanners	13-1121.00	Meeting, Convention, and Event Planners	Meeting, Convention, and Event Planners	0.85
https://occupations.org.ai/ConventionPlanners	occupations.org.ai	Occupation	ConventionPlanners	13-1121.00	Meeting, Convention, and Event Planners	Meeting, Convention, and Event Planners	0.85
https://occupations.org.ai/EventPlanners	occupations.org.ai	Occupation	EventPlanners	13-1121.00	Meeting, Convention, and Event Planners	Meeting, Convention, and Event Planners	0.85
https://occupations.org.ai/Fundraisers	occupations.org.ai	Occupation	Fundraisers	13-1131.00	Fundraisers	Fundraisers	0.85
https://occupations.org.ai/CompensationAnalysisSpecialists	occupations.org.ai	Occupation	CompensationAnalysisSpecialists	13-1141.00	Compensation, Benefits, and Job Analysis Specialists	Compensation, Benefits, and Job Analysis Specialists	0.85
https://occupations.org.ai/BenefitsAnalysisSpecialists	occupations.org.ai	Occupation	BenefitsAnalysisSpecialists	13-1141.00	Compensation, Benefits, and Job Analysis Specialists	Compensation, Benefits, and Job Analysis Specialists	0.85
https://occupations.org.ai/JobAnalysisSpecialists	occupations.org.ai	Occupation	JobAnalysisSpecialists	13-1141.00	Compensation, Benefits, and Job Analysis Specialists	Compensation, Benefits, and Job Analysis Specialists	0.85
https://occupations.org.ai/TrainingSpecialists	occupations.org.ai	Occupation	TrainingSpecialists	13-1151.00	Training and Development Specialists	Training and Development Specialists	0.85
https://occupations.org.ai/DevelopmentSpecialists	occupations.org.ai	Occupation	DevelopmentSpecialists	13-1151.00	Training and Development Specialists	Training and Development Specialists	0.85
https://occupations.org.ai/MarketResearchAnalystsSpecialists	occupations.org.ai	Occupation	MarketResearchAnalystsSpecialists	13-1161.00	Market Research Analysts and Marketing Specialists	Market Research Analysts and Marketing Specialists	0.85
https://occupations.org.ai/MarketingSpecialists	occupations.org.ai	Occupation	MarketingSpecialists	13-1161.00	Market Research Analysts and Marketing Specialists	Market Research Analysts and Marketing Specialists	0.85
https://occupations.org.ai/SearchMarketingStrategists	occupations.org.ai	Occupation	SearchMarketingStrategists	13-1161.01	Search Marketing Strategists	Search Marketing Strategists	0.85
https://occupations.org.ai/BusinessOperationsSpecialistsAllOther	occupations.org.ai	Occupation	BusinessOperationsSpecialistsAllOther	13-1199.00	Business Operations Specialists, All Other	Business Operations Specialists, All Other	0.85
https://occupations.org.ai/BusinessContinuityPlanners	occupations.org.ai	Occupation	BusinessContinuityPlanners	13-1199.04	Business Continuity Planners	Business Continuity Planners	0.85
https://occupations.org.ai/SustainabilitySpecialists	occupations.org.ai	Occupation	SustainabilitySpecialists	13-1199.05	Sustainability Specialists	Sustainability Specialists	0.85
https://occupations.org.ai/OnlineMerchants	occupations.org.ai	Occupation	OnlineMerchants	13-1199.06	Online Merchants	Online Merchants	0.85
https://occupations.org.ai/SecurityManagementSpecialists	occupations.org.ai	Occupation	SecurityManagementSpecialists	13-1199.07	Security Management Specialists	Security Management Specialists	0.85
https://occupations.org.ai/Accountants	occupations.org.ai	Occupation	Accountants	13-2011.00	Accountants and Auditors	Accountants and Auditors	0.85
https://occupations.org.ai/Auditors	occupations.org.ai	Occupation	Auditors	13-2011.00	Accountants and Auditors	Accountants and Auditors	0.85
https://occupations.org.ai/AppraisersOfPersonalProperty	occupations.org.ai	Occupation	AppraisersOfPersonalProperty	13-2022.00	Appraisers of Personal and Business Property	Appraisers of Personal and Business Property	0.85
https://occupations.org.ai/BusinessProperty	occupations.org.ai	Occupation	BusinessProperty	13-2022.00	Appraisers of Personal and Business Property	Appraisers of Personal and Business Property	0.85
https://occupations.org.ai/AppraisersOfRealEstate	occupations.org.ai	Occupation	AppraisersOfRealEstate	13-2023.00	Appraisers and Assessors of Real Estate	Appraisers and Assessors of Real Estate	0.85
https://occupations.org.ai/AssessorsOfRealEstate	occupations.org.ai	Occupation	AssessorsOfRealEstate	13-2023.00	Appraisers and Assessors of Real Estate	Appraisers and Assessors of Real Estate	0.85
https://occupations.org.ai/BudgetAnalysts	occupations.org.ai	Occupation	BudgetAnalysts	13-2031.00	Budget Analysts	Budget Analysts	0.85
https://occupations.org.ai/CreditAnalysts	occupations.org.ai	Occupation	CreditAnalysts	13-2041.00	Credit Analysts	Credit Analysts	0.85
https://occupations.org.ai/FinancialAnalysts	occupations.org.ai	Occupation	FinancialAnalysts	13-2051.00	Financial and Investment Analysts	Financial and Investment Analysts	0.85
https://occupations.org.ai/InvestmentAnalysts	occupations.org.ai	Occupation	InvestmentAnalysts	13-2051.00	Financial and Investment Analysts	Financial and Investment Analysts	0.85
https://occupations.org.ai/PersonalFinancialAdvisors	occupations.org.ai	Occupation	PersonalFinancialAdvisors	13-2052.00	Personal Financial Advisors	Personal Financial Advisors	0.85
https://occupations.org.ai/InsuranceUnderwriters	occupations.org.ai	Occupation	InsuranceUnderwriters	13-2053.00	Insurance Underwriters	Insurance Underwriters	0.85
https://occupations.org.ai/FinancialRiskSpecialists	occupations.org.ai	Occupation	FinancialRiskSpecialists	13-2054.00	Financial Risk Specialists	Financial Risk Specialists	0.85
https://occupations.org.ai/FinancialExaminers	occupations.org.ai	Occupation	FinancialExaminers	13-2061.00	Financial Examiners	Financial Examiners	0.85
https://occupations.org.ai/CreditCounselors	occupations.org.ai	Occupation	CreditCounselors	13-2071.00	Credit Counselors	Credit Counselors	0.85
https://occupations.org.ai/LoanOfficers	occupations.org.ai	Occupation	LoanOfficers	13-2072.00	Loan Officers	Loan Officers	0.85
https://occupations.org.ai/TaxExaminers	occupations.org.ai	Occupation	TaxExaminers	13-2081.00	Tax Examiners and Collectors, and Revenue Agents	Tax Examiners and Collectors, and Revenue Agents	0.85
https://occupations.org.ai/CollectorsAgents	occupations.org.ai	Occupation	CollectorsAgents	13-2081.00	Tax Examiners and Collectors, and Revenue Agents	Tax Examiners and Collectors, and Revenue Agents	0.85
https://occupations.org.ai/RevenueAgents	occupations.org.ai	Occupation	RevenueAgents	13-2081.00	Tax Examiners and Collectors, and Revenue Agents	Tax Examiners and Collectors, and Revenue Agents	0.85
https://occupations.org.ai/TaxPreparers	occupations.org.ai	Occupation	TaxPreparers	13-2082.00	Tax Preparers	Tax Preparers	0.85
https://occupations.org.ai/FinancialSpecialistsAllOther	occupations.org.ai	Occupation	FinancialSpecialistsAllOther	13-2099.00	Financial Specialists, All Other	Financial Specialists, All Other	0.85
https://occupations.org.ai/FinancialQuantitativeAnalysts	occupations.org.ai	Occupation	FinancialQuantitativeAnalysts	13-2099.01	Financial Quantitative Analysts	Financial Quantitative Analysts	0.85
https://occupations.org.ai/FraudExaminersInvestigators	occupations.org.ai	Occupation	FraudExaminersInvestigators	13-2099.04	Fraud Examiners, Investigators and Analysts	Fraud Examiners, Investigators and Analysts	0.85
https://occupations.org.ai/Analysts	occupations.org.ai	Occupation	Analysts	13-2099.04	Fraud Examiners, Investigators and Analysts	Fraud Examiners, Investigators and Analysts	0.85
https://occupations.org.ai/ComputerSystemsAnalysts	occupations.org.ai	Occupation	ComputerSystemsAnalysts	15-1211.00	Computer Systems Analysts	Computer Systems Analysts	0.95
https://occupations.org.ai/HealthInformaticsSpecialists	occupations.org.ai	Occupation	HealthInformaticsSpecialists	15-1211.01	Health Informatics Specialists	Health Informatics Specialists	0.95
https://occupations.org.ai/InformationSecurityAnalysts	occupations.org.ai	Occupation	InformationSecurityAnalysts	15-1212.00	Information Security Analysts	Information Security Analysts	0.95
https://occupations.org.ai/ComputerResearchScientists	occupations.org.ai	Occupation	ComputerResearchScientists	15-1221.00	Computer and Information Research Scientists	Computer and Information Research Scientists	0.95
