child	childCode	parent	parentCode	level
PartsAndComponentsOfGuidedMissilesAndSpaceVehicles	4311224	OtherAerospacePartsGuidedMissilesAndSpaceVehicles	431122	Detail→Subclass
MilitaryShips	4411111	Ships	441111	Detail→Subclass
NonMilitaryShipsBargesAndPlatforms	4411112	Ships	441111	Detail→Subclass
SubwayAndRapidTransitCarsAndStreetcars	4411211	SubwayAndRapidTransitCarsAndStreetcars	441121	Detail→Subclass
LocomotivesAndRailwayMaintenanceOfWayEquipment	4411221	LocomotivesAndRailwayMaintenanceOfWayEquipment	441122	Detail→Subclass
FreightTrainCars	4411231	OtherRailwayRollingStock	441123	Detail→Subclass
PassengerTrainCars	4411232	OtherRailwayRollingStock	441123	Detail→Subclass
PersonalWatercraftAndParts	4421111	PersonalWatercraftAndParts	442111	Detail→Subclass
Motorboats	4421121	MotorboatsAndOtherBoats	442112	Detail→Subclass
RecreationalAndOtherBoatsN.e.c.	4421122	MotorboatsAndOtherBoats	442112	Detail→Subclass
Bicycles	4421211	Bicycles	442121	Detail→Subclass
Snowmobiles	4421221	Snowmobiles	442122	Detail→Subclass
MilitaryArmouredVehicles	4421231	MilitaryArmouredVehicles	442123	Detail→Subclass
MotorcyclesAndMotorTricycles	4421241	MotorcyclesGolfCartsThreeWheeledMotorVehiclesAndOtherLandVehiclesN.e.c.	442124	Detail→Subclass
GolfCartsAndSimilarVehicles	4421242	MotorcyclesGolfCartsThreeWheeledMotorVehiclesAndOtherLandVehiclesN.e.c.	442124	Detail→Subclass
ThreeWheeledMotorVehiclesExceptMotorTricycles	4421244	MotorcyclesGolfCartsThreeWheeledMotorVehiclesAndOtherLandVehiclesN.e.c.	442124	Detail→Subclass
OtherLandVehiclesN.e.c.	4421249	MotorcyclesGolfCartsThreeWheeledMotorVehiclesAndOtherLandVehiclesN.e.c.	442124	Detail→Subclass
SeatsForRailCarsAndPublicConveyanceN.e.c.	4511111	PartsOfLocomotivesOfRailwayRollingStockAndOfRapidTransitEquipment	451111	Detail→Subclass
PartsOfLocomotivesTrainCarsAndRapidTransitCarsN.e.c.	4511112	PartsOfLocomotivesOfRailwayRollingStockAndOfRapidTransitEquipment	451111	Detail→Subclass
BicycleParts	4511211	BicycleParts	451121	Detail→Subclass
SnowmobileParts	4511221	SnowmobileParts	451122	Detail→Subclass
PartsOfMilitaryArmouredVehicles	4511231	PartsOfOtherTransportationEquipmentN.e.c.	451123	Detail→Subclass
PartsOfMotorcyclesGolfCartsAndOtherLandVehiclesN.e.c.	4511232	PartsOfOtherTransportationEquipmentN.e.c.	451123	Detail→Subclass
WoodPanelFlushAndMoldedFaceDoors	4621111	WoodDoors	462111	Detail→Subclass
OtherWoodDoors	4621112	WoodDoors	462111	Detail→Subclass
WoodWindowUnits	4621121	WoodWindowUnits	462112	Detail→Subclass
WoodSashExceptSashShippedInWindowUnits	4621131	WoodDoorAndWindowFramesAndSash	462113	Detail→Subclass
WoodWindowAndDoorFramesExceptWindowFramesShippedInWindowUnitsButIncludingDoorFramesShippedInDoorUnits	4621132	WoodDoorAndWindowFramesAndSash	462113	Detail→Subclass
WoodKitchenCabinets	4621211	WoodKitchenCabinetsAndOtherCabinetwork	462121	Detail→Subclass
WoodVanitiesAndCabinetworkN.e.c.	4621212	WoodKitchenCabinetsAndOtherCabinetwork	462121	Detail→Subclass
WoodKitchenCabinetAndBathroomVanityTopsIncludingMadeOfPlasticLaminatedWood	4621221	WoodKitchenCabinetAndBathroomVanityTopsIncludingMadeOfPlasticLaminatedWood	462122	Detail→Subclass
HardwoodFlooring	4621311	HardwoodFlooring	462131	Detail→Subclass
SoftwoodFlooring	4621321	SoftwoodFlooring	462132	Detail→Subclass
HardwoodLumberEdgeWorkedIncludingTonguedAndGrooved	4621331	HardwoodAndSoftwoodCutStockAndDimensionIncludingFurnitureCutStock	462133	Detail→Subclass
SoftwoodLumberOfSprucePineAndFirEdgeWorkedIncludingTonguedAndGrooved	4621332	HardwoodAndSoftwoodCutStockAndDimensionIncludingFurnitureCutStock	462133	Detail→Subclass
SoftwoodLumberOfHemlockFirEdgeWorkedIncludingTonguedAndGrooved	4621333	HardwoodAndSoftwoodCutStockAndDimensionIncludingFurnitureCutStock	462133	Detail→Subclass
SoftwoodLumberOfDouglasFirAndWesternLarchEdgeWorkedIncludingTonguedAndGrooved	4621334	HardwoodAndSoftwoodCutStockAndDimensionIncludingFurnitureCutStock	462133	Detail→Subclass
SoftwoodLumberOfWesternRedCedarEdgeWorkedIncludingTonguedAndGrooved	4621335	HardwoodAndSoftwoodCutStockAndDimensionIncludingFurnitureCutStock	462133	Detail→Subclass
OtherSoftwoodLumberEdgeWorkedIncludingTonguedAndGrooved	4621336	HardwoodAndSoftwoodCutStockAndDimensionIncludingFurnitureCutStock	462133	Detail→Subclass
HardwoodCutStockAndDimensionIncludingHardwoodFurnitureCutStock	4621337	HardwoodAndSoftwoodCutStockAndDimensionIncludingFurnitureCutStock	462133	Detail→Subclass
SoftwoodCutStockAndDimensionIncludingSoftwoodFurnitureCutStock	4621338	HardwoodAndSoftwoodCutStockAndDimensionIncludingFurnitureCutStock	462133	Detail→Subclass
SawnWoodFenceStockAndWoodLath	4621341	OtherWoodMillworkProducts	462134	Detail→Subclass
WoodMouldingsIncludingMouldingsCoveredWithMetalPlasticsEtc.	4621342	OtherWoodMillworkProducts	462134	Detail→Subclass
OtherSoftwoodMillworkProducts	4621343	OtherWoodMillworkProducts	462134	Detail→Subclass
OtherHardwoodMillworkProducts	4621344	OtherWoodMillworkProducts	462134	Detail→Subclass
OtherWoodProductsOfHardwoodN.e.c.	4621351	OtherWoodProductsN.e.c.	462135	Detail→Subclass
OtherWoodProductsOfSoftwoodN.e.c.	4621352	OtherWoodProductsN.e.c.	462135	Detail→Subclass
PaintsAndCoatingsForConstructionAndRenovation	4631111	PaintsAndCoatingsForConstructionAndRenovation	463111	Detail→Subclass
ProductFinishesForOriginalEquipmentManufacturersOemExceptMarineCoatings	4631121	OtherPaintsAndCoatings	463112	Detail→Subclass
