ns	from	predicate	reverse	to
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CreativeWork
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Thing
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/InteractAction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/SocialMediaPosting
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/StatusEnumeration
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/MedicalIndication
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/AudioObject,schema:Book
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CivicStructure
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Intangible
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/MedicalEnumeration
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Text
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/QualitativeValue
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/LodgingBusiness
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Intangible
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/MedicalSignOrSymptom
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Enumeration
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/TradeAction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/LocalBusiness
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/OrganizeAction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Episode
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Series,schema:Event
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/FoodEstablishment
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Vehicle
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Service
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/InteractAction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CreativeWork
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/ChooseAction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Enumeration
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/ConsumeAction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/BioChemEntity
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Trip
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/MediaEnumeration
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Enumeration
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/UserInteraction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CreativeWork
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/QualitativeValue
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Enumeration
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/LocalBusiness
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/SportsActivityLocation
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/LifestyleModification,schema:CreativeWork
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CreativeWorkSeries
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/TradeAction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CivicStructure
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Vessel
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/MedicalTest
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/MedicalGuideline
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Thing
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/PriceSpecification
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CreativeWorkSeries
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/MedicalEnumeration
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Organization
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Physician
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Organization
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Enumeration
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/QuantitativeValueDistribution
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/NonprofitType
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Landform
